역,시정,현재기온,이슬점온도,체감온도,일강수,습도,풍향,해면기압
강릉,20 이상,22.0,15.3,23.4,0.0,66,동,1006.4
강진군,3.8,23.3,17.9,25.2,3.0,72,정온,1005.4
강화,20 이상,25.3,18.9,26.9,0.0,68,서남서,1005.2
거제,20 이상,19.5,17.4,22.4,0.4,88,남동,1006.4
거창,20 이상,21.2,18.1,23.8,8.5,83,남동,1004.6
경주시,17.5,20.6,16.8,22.9,2.5,79,동,1006.5
고산,20 이상,22.4,19.5,25.1,0.0,84,북북서,1005.5
고창,16.3,21.7,18.6,24.3,2.4,83,서북서,1005.2
고창군,5.0,20.8,19.0,23.9,8.6,90,남동,1004.1
고흥,3.0,19.6,19.4,23.2,1.9,99,남남동,1005.1
광양시,8.0,19.3,18.3,22.6,15.0,94,북동,1005.6
광주,20 이상,21.2,20.5,24.7,4.0,96,북북서,1005.0
구미,20 이상,21.9,19.8,24.8,2.4,88,동남동,1005.3
군산,20 이상,21.8,19.7,24.7,5.0,88,서북서,1004.7
금산,20 이상,23.3,18.8,25.4,4.8,76,남,1004.6
김해시,19.7,20.0,18.9,23.3,2.9,94,남남서,1007.1
남원,20 이상,21.7,19.2,24.5,7.2,86,동북동,1005.1
남해,19.9,21.0,18.3,23.7,0.7,85,동북동,1005.5
대관령, ,18.2,14.6,20.5,0.1,80,동,1005.4
대구,19.9,22.8,16.8,24.4,2.4,69,동남동,1005.3
대전,18.5,24.4,19.8,26.6,9.3,76,정온,1004.6
동두천,20 이상,27.5,17.0,27.9, ,53,서남서,1004.1
동해,19.9,19.8,15.6,22.0,0.4,77,북동,1006.4
목포,20 이상,22.7,19.0,25.1,0.6,80,서북서,1005.1
문경,10.2,20.7,18.0,23.4,5.6,85,동북동,1005.2
밀양,20 이상,21.6,17.5,23.9,4.0,78,남남동,1005.4
백령도,20 이상,23.6,16.3,24.9, ,64,서북서,1004.0
보령,20 이상,22.8,18.9,25.2,1.3,79,남서,1004.0
보성군,4.9,20.5,20.0,24.0,10.3,97,남남동,1005.6
보은,20 이상,22.7,17.8,24.7,1.6,74,동남동,1004.7
봉화,20 이상,21.0,16.1,23.0,0.0,74,남남서,1004.8
부산,19.8,20.7,16.5,22.9,0.0,77,동북동,1005.6
부안,20 이상,21.7,19.2,24.5,8.4,86,서,1004.9
부여,20 이상,23.0,19.5,25.5,7.7,81,정온,1005.2
북강릉,20 이상,20.5,15.6,22.5,0.1,74,동,1005.8
북창원,3.9,20.1,19.7,23.7,4.1,98,서남서,1005.7
북춘천,20 이상,27.0,17.4,27.6,0.3,56,남,1003.8
산청,20 이상,20.0,18.6,23.2,9.2,92,동,1005.5
상주,20 이상,21.9,19.8,24.8,4.9,88,정온,1005.2
서귀포,20 이상,23.4,19.9,25.9,0.0,81,남,1005.2
서산,20 이상,26.4,18.0,27.4,0.6,60,동남동,1004.5
서울,20 이상,28.0,14.2,27.4, ,43,북동,1004.2
성산,20 이상,23.2,17.1,24.8,0.0,69, ,1005.4
세종,19.2,24.5,17.7,25.9,3.5,66,동북동,1004.6
속초,18.6,22.7,16.2,24.2,0.0,67,동남동,1006.1
수원,20 이상,27.5,17.9,28.1,0.2,56,동남동,1004.2
순창군,20 이상,20.6,19.2,23.8,11.0,92,남동,1004.8
순천,9.4,19.4,18.0,22.5,7.7,92,남남동,1004.8
안동,20 이상,21.8,16.3,23.6,1.8,71,동남동,1005.7
양산시,14.2,22.5,18.0,24.6,1.0,76,동북동,1006.9
양평,20 이상,25.4,16.2,26.1,1.7,57,남남서,1005.3
여수,20 이상,20.2,18.1,23.1,1.2,88,동남동,1005.4
영광군,17.2,22.8,17.2,24.6,6.1,71,북,1004.9
영덕,20 이상,19.7,16.1,22.1,0.1,80,북동,1006.3
