지역,시정,현재기온,이슬점온도,체감온도,일강수,습도,풍향,해면기압
강릉,20 이상,24.9,18.3,26.4, ,67,북동,1009.7
강진군,20 이상,25.9,20.4,27.8, ,72,서남서,1009.5
강화,12.7,26.9,21.4,28.8, ,72,서남서,1009.3
거제,20 이상,25.2,17.6,26.4, ,63,동,1010.2
거창,11.8,23.0,18.7,25.2, ,77,남남동,1008.7
경주시,19.6,23.9,16.9,25.3, ,65,북,1010.2
고산,18.9,24.9,19.7,26.9, ,73,북서,1009.3
고창군,20 이상,26.3,19.6,27.8, ,67,북서,1008.3
고흥,14.0,24.3,19.7,26.5, ,76,북서,1008.9
광양시,17.4,25.6,18.5,27.0, ,65,동북동,1009.2
광주,8.0,25.4,22.0,28.0, ,82,동북동,1009.3
구미,15.3,24.9,19.0,26.6, ,70,서북서,1009.6
김해시,20 이상,26.4,19.0,27.7, ,64,남동,1010.6
남원,18.0,25.6,20.1,27.5, ,72,남남서,1009.1
남해,13.9,23.3,18.3,25.3, ,74,북동,1009.3
대관령,18.2,23.7,17.2,25.2, ,67,동,1008.1
대구,17.7,24.6,15.2,25.2, ,56,남동,1009.4
대전,7.9,26.0,21.4,28.2, ,76,남,1009.6
동두천,10.3,28.2,22.6,30.1, ,72,서,1008.6
동해,19.8,21.5,17.0,23.6, ,76,남남동,1009.9
목포,12.8,23.8,20.5,26.4, ,82,서북서,1009.4
문경,20 이상,24.8,19.6,26.8, ,73,남남동,1009.2
밀양,20 이상,25.4,15.1,25.8, ,53,남서,1009.3
백령도,20 이상,26.4,17.4,27.2, ,58,동,1007.8
보령,14.1,25.9,19.2,27.4, ,67,남남서,1008.6
보성군,10.5,24.9,20.9,27.3, ,79,남남동,1009.1
보은,13.8,23.8,19.0,25.9, ,75,남남동,1009.2
봉화,20 이상,24.3,16.0,25.3, ,60,남남서,1008.6
부산,20 이상,25.4,17.8,26.6, ,63,동남동,1009.1
부안,14.2,25.6,21.0,27.8, ,76,북서,1009.4
부여,9.5,25.0,19.3,26.8, ,71,남,1010.0
북강릉,20 이상,23.0,17.6,24.9, ,72,동,1009.2
북창원,20 이상,26.1,18.2,27.2, ,62,서,1009.0
북춘천, ,27.4,21.6,29.2, ,71,남남서,1008.4
산청,20 이상,24.7,19.7,26.7, ,74,남,1009.3
상주,20 이상,24.5,18.8,26.3, ,71,남,1009.5
서귀포,20 이상,23.9,21.0,26.6, ,84,남,1008.9
서산,20 이상,26.9,19.2,28.1, ,63,북동,1009.2
서울, ,28.3,21.0,29.7, ,65,서남서,1008.4
성산,20 이상,24.9,19.0,26.6, ,70,동북동,1009.3
